,Accession,Organism_Name,SRA_Accession,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,Host,Isolation_Source,BioSample,GenBank_Title
2763,NC_040459,Avalon virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Orthonairovirus avalonense,Orthonairovirus,Nairoviridae,ssRNA(-),4433,RefSeq,complete,,M,1.0,"Canada: Great Island, Newfoundland",Canada,Ixodes uriae,,SAMN04530547,"Avalon virus strain CanAr173 segment M, complete sequence"
2764,NC_040460,Avalon virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Orthonairovirus avalonense,Orthonairovirus,Nairoviridae,ssRNA(-),11827,RefSeq,complete,,L,1.0,"Canada: Great Island, Newfoundland",Canada,Ixodes uriae,,SAMN04530547,"Avalon virus strain CanAr173 segment L, complete sequence"
2768,NC_040464,Wenling frogfish arenavirus 2,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Antennavirus hirsutum,Antennavirus,Arenaviridae,ssRNA(+/-),2016,RefSeq,complete,,S,,China,China,Antennarius striatus,,,"Wenling frogfish arenavirus 2 strain XYHYG24857 segment S, complete sequence"
2769,NC_040465,Wenling frogfish arenavirus 2,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Antennavirus hirsutum,Antennavirus,Arenaviridae,ssRNA(+/-),6425,RefSeq,complete,,L,,China,China,Antennarius striatus,,,"Wenling frogfish arenavirus 2 strain XYHYG24857 segment L, complete sequence"
2770,NC_040466,Wenling frogfish arenavirus 2,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Antennavirus hirsutum,Antennavirus,Arenaviridae,ssRNA(+/-),2551,RefSeq,complete,,M,,China,China,Antennarius striatus,,,"Wenling frogfish arenavirus 2 strain XYHYG24857 segment M, complete sequence"
2773,NC_040469,Apple necrotic mosaic virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Apple necrotic mosaic virus,Ilarvirus,Bromoviridae,ssRNA(+),3378,RefSeq,complete,,RNA 1,,Japan,Japan,Malus domestica,,,"Apple necrotic mosaic virus genomic RNA, segment RNA1, complete sequence"
2774,NC_040470,Apple necrotic mosaic virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Apple necrotic mosaic virus,Ilarvirus,Bromoviridae,ssRNA(+),1956,RefSeq,complete,,RNA 3,,Japan,Japan,Malus domestica,,,"Apple necrotic mosaic virus genomic RNA, segment RNA3, complete sequence"
2775,NC_040471,Apple necrotic mosaic virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Apple necrotic mosaic virus,Ilarvirus,Bromoviridae,ssRNA(+),2767,RefSeq,complete,,RNA 2,,Japan,Japan,Malus domestica,,,"Apple necrotic mosaic virus genomic RNA, segment RNA2, complete sequence"
2778,NC_040474,Guangxi orbivirus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Guangxi orbivirus,Orbivirus,Sedoreoviridae,dsRNA,1620,RefSeq,complete,,7,,China: Guangxi Province,China,Bos taurus,blood,,"Guangxi orbivirus strain V172/GX/2015 segment 7, complete sequence"
2779,NC_040475,Guangxi orbivirus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Guangxi orbivirus,Orbivirus,Sedoreoviridae,dsRNA,829,RefSeq,complete,,10,,China: Guangxi Province,China,Bos taurus,blood,,"Guangxi orbivirus strain V172/GX/2015 segment 10, complete sequence"
2780,NC_040476,Guangxi orbivirus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Guangxi orbivirus,Orbivirus,Sedoreoviridae,dsRNA,2680,RefSeq,complete,,3,,China: Guangxi Province,China,Bos taurus,blood,,"Guangxi orbivirus strain V172/GX/2015 segment 3, complete sequence"
2781,NC_040477,Guangxi orbivirus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Guangxi orbivirus,Orbivirus,Sedoreoviridae,dsRNA,1182,RefSeq,complete,,8,,China: Guangxi Province,China,Bos taurus,blood,,"Guangxi orbivirus strain V172/GX/2015 segment 8, complete sequence"
2782,NC_040478,Guangxi orbivirus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Guangxi orbivirus,Orbivirus,Sedoreoviridae,dsRNA,3996,RefSeq,complete,,1,,China: Guangxi Province,China,Bos taurus,blood,,"Guangxi orbivirus strain V172/GX/2015 segment 1, complete sequence"
2783,NC_040479,Guangxi orbivirus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Guangxi orbivirus,Orbivirus,Sedoreoviridae,dsRNA,2914,RefSeq,complete,,2,,China: Guangxi Province,China,Bos taurus,blood,,"Guangxi orbivirus strain V172/GX/2015 segment 2, complete sequence"
2784,NC_040480,Guangxi orbivirus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Guangxi orbivirus,Orbivirus,Sedoreoviridae,dsRNA,1687,RefSeq,complete,,6,,China: Guangxi Province,China,Bos taurus,blood,,"Guangxi orbivirus strain V172/GX/2015 segment 6, complete sequence"
2785,NC_040481,Guangxi orbivirus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Guangxi orbivirus,Orbivirus,Sedoreoviridae,dsRNA,1847,RefSeq,complete,,5,,China: Guangxi Province,China,Bos taurus,blood,,"Guangxi orbivirus strain V172/GX/2015 segment 5, complete sequence"
2786,NC_040482,Guangxi orbivirus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Guangxi orbivirus,Orbivirus,Sedoreoviridae,dsRNA,1134,RefSeq,complete,,9,,China: Guangxi Province,China,Bos taurus,blood,,"Guangxi orbivirus strain V172/GX/2015 segment 9, complete sequence"
2789,NC_040485,Colletotrichum fructicola chrysovirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,FJ-4,Betachrysovirus colletotrichi,Betachrysovirus,Chrysoviridae,dsRNA,3620,RefSeq,complete,,RNA 1,,China,China,Colletotrichum fructicola,,,"Colletotrichum fructicola chrysovirus 1 isolate FJ-4 segment RNA 1, complete sequence"
2790,NC_040486,Colletotrichum fructicola chrysovirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,FJ-4,Betachrysovirus colletotrichi,Betachrysovirus,Chrysoviridae,dsRNA,1750,RefSeq,complete,,RNA 5,,China,China,Colletotrichum fructicola,,,"Colletotrichum fructicola chrysovirus 1 isolate FJ-4 segment RNA 5, complete sequence"
2791,NC_040487,Colletotrichum fructicola chrysovirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,FJ-4,Betachrysovirus colletotrichi,Betachrysovirus,Chrysoviridae,dsRNA,2687,RefSeq,complete,,RNA 3,,China,China,Colletotrichum fructicola,,,"Colletotrichum fructicola chrysovirus 1 isolate FJ-4 segment RNA 3, complete sequence"
2792,NC_040488,Colletotrichum fructicola chrysovirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,FJ-4,Betachrysovirus colletotrichi,Betachrysovirus,Chrysoviridae,dsRNA,2438,RefSeq,complete,,RNA 4,,China,China,Colletotrichum fructicola,,,"Colletotrichum fructicola chrysovirus 1 isolate FJ-4 segment RNA 4, complete sequence"
2793,NC_040489,Colletotrichum fructicola chrysovirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,FJ-4,Betachrysovirus colletotrichi,Betachrysovirus,Chrysoviridae,dsRNA,1539,RefSeq,complete,,RNA 6,,China,China,Colletotrichum fructicola,,,"Colletotrichum fructicola chrysovirus 1 isolate FJ-4 segment RNA 6, complete sequence"
2794,NC_040490,Colletotrichum fructicola chrysovirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,FJ-4,Betachrysovirus colletotrichi,Betachrysovirus,Chrysoviridae,dsRNA,1211,RefSeq,complete,,RNA 7,,China,China,Colletotrichum fructicola,,,"Colletotrichum fructicola chrysovirus 1 isolate FJ-4 segment RNA 7, complete sequence"
2795,NC_040491,Colletotrichum fructicola chrysovirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,FJ-4,Betachrysovirus colletotrichi,Betachrysovirus,Chrysoviridae,dsRNA,2801,RefSeq,complete,,RNA 2,,China,China,Colletotrichum fructicola,,,"Colletotrichum fructicola chrysovirus 1 isolate FJ-4 segment RNA 2, complete sequence"
2796,NC_040492,Kaisodi virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,G14132,Uukuvirus kaisodiense,Uukuvirus,Phenuiviridae,RNA,1757,RefSeq,complete,,S,,India:Karnataka,India,Haemaphysalis spinigera,,,"Kaisodi virus isolate G14132 segment S, complete sequence"
2797,NC_040493,Kaisodi virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,G14132,Uukuvirus kaisodiense,Uukuvirus,Phenuiviridae,RNA,3232,RefSeq,complete,,M,,India:Karnataka,India,Haemaphysalis spinigera,,,"Kaisodi virus isolate G14132 segment M, complete sequence"
2798,NC_040494,Kaisodi virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,G14132,Uukuvirus kaisodiense,Uukuvirus,Phenuiviridae,RNA,6475,RefSeq,complete,,L,,India:Karnataka,India,Haemaphysalis spinigera,,,"Kaisodi virus isolate G14132 segment L, complete sequence"
2811,NC_040507,Wheat spindle streak mosaic virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,WSSMV_South,Wheat spindle streak mosaic virus,Bymovirus,Potyviridae,ssRNA(+),4062,RefSeq,complete,,RNA 2,,France,France,,,,"Wheat spindle streak mosaic virus isolate WSSMV_South segment RNA2, complete sequence"
2812,NC_040508,Wheat spindle streak mosaic virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,WSSMV_South,Wheat spindle streak mosaic virus,Bymovirus,Potyviridae,ssRNA(+),7557,RefSeq,complete,,RNA 1,,France,France,,,,"Wheat spindle streak mosaic virus isolate WSSMV_South segment RNA1, complete sequence"
2813,NC_040509,Zea mays chrysovirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Alphachrysovirus zeae,Alphachrysovirus,Chrysoviridae,dsRNA,4220,RefSeq,complete,,dsRNA 1,,USA,USA,,,,"Zea mays chrysovirus 1 strain 74 putative coat protein gene, complete cds"
2814,NC_040510,Zea mays chrysovirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Alphachrysovirus zeae,Alphachrysovirus,Chrysoviridae,dsRNA,3713,RefSeq,complete,,dsRNA 2,,USA,USA,,,,"Zea mays chrysovirus 1 strain 74 putative RNA-dependent RNA polymerase gene, complete cds"
2815,NC_040511,Zea mays chrysovirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Alphachrysovirus zeae,Alphachrysovirus,Chrysoviridae,dsRNA,3373,RefSeq,complete,,dsRNA 3,,USA,USA,,,,"Zea mays chrysovirus 1 strain 74 hypothetical protein gene, complete cds"
2816,NC_040512,Great Saltee virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Orthonairovirus bushkeyense,Orthonairovirus,Nairoviridae,ssRNA(-),12049,RefSeq,complete,,L,1.0,Ireland: Great Saltee Is.,Ireland,Alectorobius maritimus,,SAMN04530537,"Great Saltee virus strain RML 59972-6 segment L, complete sequence"
2817,NC_040513,Great Saltee virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Orthonairovirus bushkeyense,Orthonairovirus,Nairoviridae,ssRNA(-),4365,RefSeq,complete,,M,1.0,Ireland: Great Saltee Is.,Ireland,Alectorobius maritimus,,SAMN04530537,"Great Saltee virus strain RML 59972-6 segment M, complete sequence"
2818,NC_040514,Great Saltee virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Orthonairovirus bushkeyense,Orthonairovirus,Nairoviridae,ssRNA(-),2123,RefSeq,complete,,S,1.0,Ireland: Great Saltee Is.,Ireland,Alectorobius maritimus,,SAMN04530537,"Great Saltee virus strain RML 59972-6 segment S, complete sequence"
2826,NC_040534,Yichang virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,HB-MLV,Alphamesonivirus 11,Alphamesonivirus,Mesoniviridae,ssRNA(+),20949,RefSeq,complete,,,,China,China,Culex,,,"Yichang virus isolate HB-MLV, complete genome"
2830,NC_040543,Chenopodium quinoa mitovirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,Che1,Duamitovirus chqu1,Duamitovirus,Mitoviridae,ssRNA(+),2730,RefSeq,complete,,,,Italy,Italy,Chenopodium quinoa,,,"Chenopodium quinoa mitovirus 1 isolate Che1, complete genome"
2831,NC_040545,Grapevine virus H,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,TT2016-3,Grapevine virus H,Vitivirus,Betaflexiviridae,ssRNA(+),7446,RefSeq,complete,,,1.0,Portugal,Portugal,Vitis vinifera,,,"Grapevine virus H isolate TT2016-3, complete genome"
2832,NC_040549,Luteovirus sociomali,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,A68,Luteovirus sociomali,Luteovirus,Tombusviridae,ssRNA(+),5890,RefSeq,complete,,,1.0,China,China,Malus domestica,,,"Apple-associated luteovirus isolate A68, complete genome"
2834,NC_040554,Grapevine virus G,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,VLJ-178.GvG,Grapevine virus G,Vitivirus,Betaflexiviridae,ssRNA(+),7475,RefSeq,complete,,,1.0,Croatia,Croatia,Vitis vinifera,,,"Grapevine virus G isolate VLJ-178.GvG, complete genome"
2836,NC_040556,Bee Macula-Like virus 2,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,BeeMLV2_ahae2,Bee Macula-Like virus 2,Maculavirus,Tymoviridae,ssRNA(+),6373,RefSeq,complete,,,,Belgium,Belgium,,,,"Bee Macula-Like virus 2 isolate BeeMLV2_ahae2, complete genome"
2837,NC_040558,Phaseolus vulgaris endornavirus 3,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,LA,Phaseolus vulgaris alphaendornavirus 3,Alphaendornavirus,Endornaviridae,dsRNA,15205,RefSeq,complete,,,,USA,USA,Phaseolus vulgaris,,,"Phaseolus vulgaris endornavirus 3 isolate LA, complete genome"
2838,NC_040559,Gigaspora margarita mitovirus 3,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,GmMV3-BEG34,Duamitovirus gima3,Duamitovirus,Mitoviridae,ssRNA(+),3387,RefSeq,complete,,,1.0,Italy,Italy,Gigaspora margarita,,,"Gigaspora margarita mitovirus 3 isolate GmMV3-BEG34, complete genome"
2839,NC_040560,Gigaspora margarita mitovirus 4,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,GmMV4-BEG34,Duamitovirus gima4,Duamitovirus,Mitoviridae,ssRNA(+),3389,RefSeq,complete,,,1.0,Italy,Italy,Gigaspora margarita,,,"Gigaspora margarita mitovirus 4 isolate GmMV4-BEG34, complete genome"
2842,NC_040564,Grapevine virus J,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,KS,Grapevine virus J,Vitivirus,Betaflexiviridae,ssRNA(+),7390,RefSeq,complete,,,,Turkmenistan,Turkmenistan,Vitis vinifera,,,"Grapevine virus J isolate KS, complete genome"
2843,NC_040565,Alfalfa virus F,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,SM-1_C50,Marafivirus medicagonis,Marafivirus,Tymoviridae,ssRNA(+),6818,RefSeq,complete,,,,France: Prades-le-Lez,France,Medicago sativa,,,"Alfalfa virus F isolate SM-1_C50, complete genome"
2844,NC_040568,Mume virus A,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,pm14,Mume virus A,Capillovirus,Betaflexiviridae,ssRNA(+),7644,RefSeq,complete,,,1.0,Japan,Japan,Prunus mume,,,"Mume virus A isolate pm14, complete genome"
2845,NC_040570,Arracacha virus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,MS#6,Arracacha virus 1,Closterovirus,Closteroviridae,ssRNA(+),15763,RefSeq,complete,,,1.0,Brazil,Brazil,Arracacia xanthorrhiza,,,"Arracacha virus 1 isolate MS#6, complete genome"
2846,NC_040571,Blechomonas maslovi narnavirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Blechomonas maslovi narnavirus 1,Narnavirus,Narnaviridae,ssRNA(+),2945,RefSeq,complete,,,,Czech Republic,Czech Republic,,,,"Blechomonas maslovi narnavirus 1 strain OSU7 RNA-dependent RNA polymerase gene, complete cds"
2847,NC_040572,Rehmannia virus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,Rg,Rehmannia virus 1,Closterovirus,Closteroviridae,ssRNA(+),15322,RefSeq,complete,,,1.0,South Korea,South Korea,Rehmannia glutinosa,,,"Rehmannia virus 1 isolate Rg, complete genome"
2850,NC_040582,Blackcurrant leafroll-associated virus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,Oregon,Blackcurrant leafroll-associated virus 1,Closterovirus,Closteroviridae,ssRNA(+),16996,RefSeq,complete,,,1.0,USA,USA,Ribes nigrum,,,"Blackcurrant leafroll-associated virus 1 isolate Oregon, complete genome"
2852,NC_040585,Rhizophagus irregularis mitovirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Duamitovirus rhir1,Duamitovirus,Mitoviridae,ssRNA(+),3601,RefSeq,complete,,,,Canada,Canada,Rhizophagus irregularis,,,"Rhizophagus irregularis mitovirus 1 RNA-dependent RNA polymerase gene, complete cds"
2853,NC_040586,Brassica napus RNA virus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,SP2S,Waikavirus brassicae,Waikavirus,Secoviridae,ssRNA(+),12313,RefSeq,complete,,,,China,China,Brassica napus,,,"Brassica napus RNA virus 1 isolate SP2S, complete genome"
2862,NC_040599,Merida virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,MERD-Mex07,Merhavirus merida,Merhavirus,Rhabdoviridae,ssRNA(-),11798,RefSeq,complete,,,1.0,Mexico,Mexico,Culex quinquefasciatus,,,"Merida virus isolate MERD-Mex07, complete genome"
2863,NC_040601,Varroa destructor virus 2,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,VDV-2,Iflavirus vadestruente,Iflavirus,Iflaviridae,ssRNA(+),9552,RefSeq,complete,,,1.0,Israel,Israel,Varroa destructor,,,"Varroa destructor virus 2 isolate VDV-2, complete genome"
2864,NC_040602,Menghai rhabdovirus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,Menghai,Almendravirus menghai,Almendravirus,Rhabdoviridae,ssRNA(-),10744,RefSeq,complete,,,,China,China,Aedes albopictus,,,"Menghai rhabdovirus isolate Menghai, complete genome"
2865,NC_040605,Marmot sapelovirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Marmot sapelovirus 1,Sapelovirus,Picornaviridae,ssRNA(+),7726,RefSeq,complete,,,1.0,China,China,Marmota himalayana,,,"Marmot sapelovirus 1 strain HT5, complete genome"
2869,NC_040611,Hedgehog dicipivirus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Cadicivirus B,Dicipivirus,Picornaviridae,ssRNA(+),8838,RefSeq,complete,,,1.0,Hungary,Hungary,Erinaceus roumanicus,feces,,"Hedgehog dicipivirus strain hedgehog/H14/2015/HUN, complete genome"
2872,NC_040616,Grapevine virus G,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,VID561,Grapevine virus G,Vitivirus,Betaflexiviridae,ssRNA(+),7496,RefSeq,complete,,,,New Zealand,New Zealand,Vitis vinifera,,,"Grapevine virus G isolate VID561, complete genome"
2874,NC_040630,Blackberry virus A,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,Arkansas,Blackberry virus A,Vitivirus,Betaflexiviridae,ssRNA(+),7285,RefSeq,complete,,,,USA,USA,Rubus,,,"Blackberry virus A isolate Arkansas, complete genome"
2875,NC_040631,Sclerotinia minor endornavirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Sclerotinia minor betaendornavirus 1,Betaendornavirus,Endornaviridae,dsRNA,12626,RefSeq,complete,,,,China,China,Sclerotinia minor,,,"Sclerotinia minor endornavirus 1 strain LC22, complete genome"
2876,NC_040632,Gigaspora margarita giardia-like virus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,GmGlV1-BEG34,Gigaspora margarita giardia-like virus 1,Giardiavirus,Totiviridae,dsRNA,4947,RefSeq,complete,,,1.0,Italy,Italy,,,,"Gigaspora margarita giardia-like virus 1 isolate GmGlV1-BEG34, complete genome"
2879,NC_040641,Blechomonas wendygibsoni narnavirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Blechomonas wendygibsoni narnavirus 1,Narnavirus,Narnaviridae,ssRNA(+),2748,RefSeq,complete,,,,Czech Republic,Czech Republic,,,,"Blechomonas wendygibsoni narnavirus 1 strain OSU9 RNA-dependent RNA polymerase gene, complete cds"
2882,NC_040644,Turtle grass virus X,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,TB 2016,Turtle grass virus X,Potexvirus,Alphaflexiviridae,ssRNA(+),6278,RefSeq,complete,,,,"USA: Tampa Bay, Florida",USA,Thalassia testudinum,plant leaf,,"Turtle grass virus X isolate TB 2016, complete genome"
2886,NC_040649,Sclerotinia sclerotiorum deltaflexivirus 2,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,228,Sclerotinia sclerotiorum deltaflexivirus 2,Deltaflexivirus,Deltaflexiviridae,ssRNA(+),6735,RefSeq,complete,,,1.0,China,China,Sclerotinia sclerotiorum,,,"Sclerotinia sclerotiorum deltaflexivirus 2 isolate 228, complete genome"
2887,NC_040650,Pleione flower breaking virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,CZ-Wharf1,Pleione flower breaking virus,Potyvirus,Potyviridae,ssRNA(+),9952,RefSeq,complete,,,,Czech Republic,Czech Republic,Pleione humilis,,,"Pleione flower breaking virus isolate CZ-Wharf1, complete genome"
2888,NC_040653,Fusarium asiaticum victorivirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,F16176,Fusarium asiaticum victorivirus 1,Victorivirus,Totiviridae,dsRNA,5281,RefSeq,complete,,,1.0,China,China,Fusarium asiaticum,,,"Fusarium asiaticum victorivirus 1 isolate F16176, complete genome"
2890,NC_040656,Rhizophagus sp. RF1 mitovirus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Triamitovirus rhcl1,Triamitovirus,Mitoviridae,ssRNA(+),2895,RefSeq,complete,,,1.0,"Japan:Hokkaido, Rankoshi",Japan,Rhizophagus,,,"Rhizophagus sp. RF1 mitovirus genomic RNA, complete genome"
2898,NC_040664,Zahedan rhabdovirus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,Ar Teh 157764,Zarhavirus zahedan,Zarhavirus,Rhabdoviridae,ssRNA(-),11230,RefSeq,complete,,,1.0,Iran,Iran,Hyalomma anatolicum anatolicum,,,"Zahedan rhabdovirus isolate Ar Teh 157764, complete genome"
2899,NC_040669,Riverside virus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Ohlsrhavirus riverside,Ohlsrhavirus,Rhabdoviridae,ssRNA(-),11713,RefSeq,complete,,,1.0,Hungary,Hungary,Ochlerotatus sp.,pooled insects,,"Riverside virus 1 strain RISV-Drava 1, complete genome"
2901,NC_040673,tremovirus B1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Tremovirus B,Tremovirus,Picornaviridae,ssRNA(+),8145,RefSeq,complete,,,,China: Shangrao,China,Pelodiscus sinensis,,,"Pelodiscus sinensis picornavirus 1 strain CNSR2011, complete genome"
2902,NC_040674,Marmot norovirus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Marmot norovirus,Norovirus,Caliciviridae,ssRNA(+),6453,RefSeq,complete,,,1.0,China,China,Marmota himalayana,,,"Marmot norovirus strain HT16, complete genome"
2905,NC_040680,Apple luteovirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,PA8,Luteovirus mali,Luteovirus,Tombusviridae,ssRNA(+),6001,RefSeq,complete,,,1.0,USA,USA,Malus pumila,,,"Apple luteovirus 1 isolate PA8, complete genome"
2909,NC_040685,Opuntia virus 2,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,Nopal_hec Mex,Opuntia virus 2,Tobamovirus,Virgaviridae,ssRNA(+),6453,RefSeq,complete,,,,Mexico,Mexico,Opuntia ficus-indica,,,"Opuntia virus 2 isolate Nopal_hec Mex, complete genome"
2912,NC_040702,Gigaspora margarita mitovirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,GmMV1-BEG34,Duamitovirus gima1,Duamitovirus,Mitoviridae,ssRNA(+),3243,RefSeq,complete,,,1.0,Italy,Italy,Gigaspora margarita,,,"Gigaspora margarita mitovirus 1 isolate GmMV1-BEG34, complete genome"
2913,NC_040703,Chrysanthemum virus R,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Carlavirus CVR,Carlavirus,Betaflexiviridae,ssRNA(+),8890,RefSeq,complete,,,1.0,China,China,Chrysanthemum,,,"Chrysanthemum virus R strain BJ, complete genome"
2917,NC_040713,Elderberry aureusvirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,B17,Aureusvirus sambuci,Aureusvirus,Tombusviridae,ssRNA(+),1134,RefSeq,complete,,,,Czech Republic: Central Moravia,Czech Republic,Sambucus nigra,plant leaf,,"Elderberry aureusvirus 1 isolate B17 coat protein (CP) gene, complete cds"
2920,NC_040722,Blackcurrant leafroll-associated virus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,BC28074,Blackcurrant leafroll-associated virus 1,Closterovirus,Closteroviridae,ssRNA(+),17141,RefSeq,complete,,,1.0,Switzerland: Nyon,Switzerland,Ribes nigrum,,,"Blackcurrant leafroll-associated virus 1, complete genome"
2922,NC_040724,Psammotettix alienus iflavirus 1,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Psammotettix alienus iflavirus 1,Iflavirus,Iflaviridae,ssRNA(+),10836,RefSeq,complete,,,1.0,China,China,Psammotettix alienus,,,"Psammotettix alienus iflavirus 1, complete genome"
2925,NC_040729,Snake deltavirus F18-5,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,F18-5,Snake deltavirus F18-5,Deltavirus,Kolmioviridae,ssRNA(-),1711,RefSeq,complete,,,,Switzerland,Switzerland,Boa constrictor,,,"Snake deltavirus F18-5, complete genome"
2926,NC_040730,Oz virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Thogotovirus ozense,Thogotovirus,Orthomyxoviridae,ssRNA(-),2406,RefSeq,complete,,1,1.0,Japan,Japan,Amblyomma testudinarium,,,"Oz virus viral cRNA, segment 1, complete sequence, strain: EH8"
2927,NC_040731,Oz virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Thogotovirus ozense,Thogotovirus,Orthomyxoviridae,ssRNA(-),2225,RefSeq,complete,,2,1.0,Japan,Japan,Amblyomma testudinarium,,,"Oz virus viral cRNA, segment 2, complete sequence, strain: EH8"
2928,NC_040732,Oz virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Thogotovirus ozense,Thogotovirus,Orthomyxoviridae,ssRNA(-),1975,RefSeq,complete,,3,1.0,Japan,Japan,Amblyomma testudinarium,,,"Oz virus viral cRNA, segment 3, complete sequence, strain: EH8"
2929,NC_040733,Oz virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Thogotovirus ozense,Thogotovirus,Orthomyxoviridae,ssRNA(-),1482,RefSeq,complete,,5,1.0,Japan,Japan,Amblyomma testudinarium,,,"Oz virus viral cRNA, segment 5, complete sequence, strain: EH8"
2930,NC_040734,Oz virus,,"National Center for Biotechnology Information, NIH",USA,2019-02-12,,Thogotovirus ozense,Thogotovirus,Orthomyxoviridae,ssRNA(-),960,RefSeq,complete,,6,1.0,Japan,Japan,Amblyomma testudinarium,,,"Oz virus viral cRNA, segment 6, complete sequence, strain: EH8"
