Accession,Length,Family,Genus,Segment,GenBank_Title,Unnamed: 6
NC_038639,1317,Spinareoviridae,Aquareovirus,8,"Scophthalmus maximus reovirus segment S8, complete sequence",
NC_038640,3947,Spinareoviridae,Aquareovirus,1,"Scophthalmus maximus reovirus segment L1, complete sequence",
NC_038641,2640,Spinareoviridae,Aquareovirus,4,"Scophthalmus maximus reovirus segment M4, complete sequence",
NC_038642,986,Spinareoviridae,Aquareovirus,10,"Scophthalmus maximus reovirus segment S10, complete sequence",
NC_038643,1399,Spinareoviridae,Aquareovirus,7,"Scophthalmus maximus reovirus segment S7, complete sequence",
NC_038644,784,Spinareoviridae,Aquareovirus,11,"Scophthalmus maximus reovirus segment S11, complete sequence",
NC_038658,1185,Spinareoviridae,Orthoreovirus,S4,"Pulau reovirus segment S4, complete sequence",
NC_038659,1322,Spinareoviridae,Orthoreovirus,S2,"Pulau reovirus segment S2, complete sequence",
NC_038660,3832,Spinareoviridae,Orthoreovirus,L2,"Pulau reovirus segment L2, complete sequence",
NC_038661,2295,Spinareoviridae,Orthoreovirus,M1,"Pulau reovirus segment M1, complete sequence",
NC_038662,3954,Spinareoviridae,Orthoreovirus,L3,"Pulau reovirus segment L3, complete sequence",
NC_038663,1192,Spinareoviridae,Orthoreovirus,S3,"Pulau reovirus segment S3, complete sequence",
NC_038664,2145,Spinareoviridae,Orthoreovirus,M2,"Pulau reovirus segment M2, complete sequence",
NC_038665,3896,Spinareoviridae,Orthoreovirus,L1,"Pulau reovirus segment L1, complete sequence",
NC_038666,1984,Spinareoviridae,Orthoreovirus,M3,"Pulau reovirus segment M3, complete sequence",
NC_038667,1600,Spinareoviridae,Orthoreovirus,S1,"Pulau reovirus segment S1, complete sequence",
NC_038694,3647,Hantaviridae,Orthohantavirus,M,"Rockport virus isolate MSB57412 segment M, complete sequence",
NC_038695,6558,Hantaviridae,Orthohantavirus,L,"Rockport virus isolate MSB57412 segment L, complete sequence",
NC_038696,1830,Hantaviridae,Orthohantavirus,S,"Rockport virus isolate MSB57412 segment S, complete sequence",
NC_038706,6904,Phasmaviridae,Jonvirus,L,"Jonchet virus strain B81-CI-2004 segment L, complete sequence",
NC_038707,1745,Phasmaviridae,Jonvirus,S,"Jonchet virus strain B81-CI-2004 segment S, complete sequence",
NC_038708,5449,Phasmaviridae,Jonvirus,M,"Jonchet virus strain B81-CI-2004 segment M, complete sequence",
NC_038709,11980,Nairoviridae,Orthonairovirus,L,"Hazara virus isolate JC280 segment L, complete sequence",
NC_038710,4575,Nairoviridae,Orthonairovirus,M,"Hazara virus isolate JC280 segment M, complete sequence",
NC_038711,1677,Nairoviridae,Orthonairovirus,S,"Hazara virus isolate JC280 segment S, complete sequence",
NC_038712,1090,Peribunyaviridae,Herbevirus,S,"Herbert virus strain F23/CI/2004 segment S, complete sequence",
NC_038713,2684,Peribunyaviridae,Herbevirus,M,"Herbert virus strain F23/CI/2004 segment M, complete sequence",
NC_038714,7428,Peribunyaviridae,Herbevirus,L,"Herbert virus strain F23/CI/2004 segment L, complete sequence",
NC_038715,5088,Peribunyaviridae,Orthobunyavirus,M,"Alajuela virus strain MARU 11079 segment M, complete sequence",
NC_038716,1153,Peribunyaviridae,Orthobunyavirus,S,"Alajuela virus strain MARU 11079 segment S, complete sequence",
NC_038717,6925,Peribunyaviridae,Orthobunyavirus,L,"Alajuela virus strain MARU 11079 segment L, complete sequence",
NC_038718,4324,Peribunyaviridae,Orthobunyavirus,M,"Lukuni virus strain TRVL 10076 polyprotein gene, complete cds",1
NC_038719,850,Peribunyaviridae,Orthobunyavirus,S,"Lukuni virus strain TRVL 10076 nucleocapsid protein gene, complete cds",1
NC_038720,6793,Peribunyaviridae,Orthobunyavirus,L,"Lukuni virus strain TRVL 10076 RNA-dependent RNA polymerase gene, complete cds",1
NC_038723,4423,Peribunyaviridae,Orthobunyavirus,M,"Bimiti virus strain TRVL 8362 polyprotein gene, complete cds",1
NC_038724,6830,Peribunyaviridae,Orthobunyavirus,L,"Bimiti virus strain TRVL 8362 RNA-dependent RNA polymerase gene, complete cds",1
NC_038725,849,Peribunyaviridae,Orthobunyavirus,S,"Bimiti virus strain TRVL 8362 nucleocapsid protein gene, complete cds",1
NC_038726,807,Peribunyaviridae,Orthobunyavirus,S,"Catu virus strain BeH 151 nucleocapsid protein gene, complete cds",1
NC_038727,4420,Peribunyaviridae,Orthobunyavirus,M,"Catu virus strain BeH 151 polyprotein gene, complete cds",1
NC_038728,6797,Peribunyaviridae,Orthobunyavirus,L,"Catu virus strain BeH 151 RNA-dependent RNA polymerase gene, complete cds",1
NC_038729,6945,Peribunyaviridae,Orthobunyavirus,L,"Gamboa virus strain GML 435718 segment L, complete sequence",
NC_038730,5002,Peribunyaviridae,Orthobunyavirus,M,"Gamboa virus strain GML 435718 segment M, complete sequence",
NC_038731,919,Peribunyaviridae,Orthobunyavirus,S,"Gamboa virus strain GML 435718 segment S, complete sequence",
NC_038732,831,Peribunyaviridae,Orthobunyavirus,S,"Guajara virus strain BeAn 10615 nucleocapsid protein gene, complete cds",
NC_038733,4411,Peribunyaviridae,Orthobunyavirus,M,"Guajara virus strain BeAn 10615 polyprotein gene, complete cds",
NC_038734,6853,Peribunyaviridae,Orthobunyavirus,L,"Guajara virus strain BeAn 10615 RNA-dependent RNA polymerase gene, complete cds",
NC_038735,4412,Peribunyaviridae,Orthobunyavirus,M,"Guama virus strain BeAn 277 polyprotein gene, complete cds",
NC_038736,6861,Peribunyaviridae,Orthobunyavirus,L,"Guama virus strain BeAn 277 RNA-dependent RNA polymerase gene, complete cds",
NC_038737,850,Peribunyaviridae,Orthobunyavirus,S,"Guama virus strain BeAn 277 nucleocapsid protein gene, complete cds",
NC_038738,6910,Peribunyaviridae,Orthobunyavirus,L,"Kairi virus strain BeAr8226 segment L, complete sequence",
NC_038739,4594,Peribunyaviridae,Orthobunyavirus,M,"Kairi virus strain BeAr8226 segment M, complete sequence",
NC_038740,993,Peribunyaviridae,Orthobunyavirus,S,"Kairi virus strain BeAr8226 segment S, complete sequence",
NC_038741,6905,Peribunyaviridae,Orthobunyavirus,L,"Koongol virus strain MRM31 RNA-dependent RNA polymerase gene, complete cds",
NC_038742,3415,Peribunyaviridae,Orthobunyavirus,M,"Koongol virus strain MRM31 polyprotein gene, complete cds",
NC_038743,882,Peribunyaviridae,Orthobunyavirus,S,"Koongol virus strain MRM31 nucleocapsid protein gene, complete cds",
NC_038745,4457,Phasmaviridae,Orthophasmavirus,L,"Nome phantom virus strain TE13 RNA-dependent RNA polymerase (RdRp) gene, partial cds",
NC_038746,2667,Phasmaviridae,Orthophasmavirus,S,"Nome phantom virus strain TE13 nucleoprotein (N) gene, complete cds",
NC_038747,2533,Phasmaviridae,Orthophasmavirus,M,"Nome phantom virus strain TE13 glycoprotein precursor (GnGc) gene, complete cds",
NC_038755,5945,Rhabdoviridae,Dichorhavirus,2,"Coffee ringspot virus strain Lavras segment RNA2, complete sequence",
NC_038756,6552,Rhabdoviridae,Dichorhavirus,1,"Coffee ringspot virus strain Lavras segment RNA1, complete sequence",
NC_038759,3294,Secoviridae,Fabavirus,2,"Cucurbit mild mosaic virus segment RNA2 114 kDa polyprotein gene, complete cds",
NC_038760,5870,Secoviridae,Fabavirus,1,"Cucurbit mild mosaic virus segment RNA1 205 kDa polyprotein gene, complete cds",
NC_038761,4010,Secoviridae,Nepovirus,2,"Aeonium ringspot virus segment RNA2, complete sequence",
NC_038762,7549,Secoviridae,Nepovirus,1,"Aeonium ringspot virus segment RNA1, complete sequence",
NC_038763,6344,Secoviridae,Nepovirus,2,"Blueberry latent spherical virus genomic RNA, segment: 2, complete sequence",
NC_038764,7960,Secoviridae,Nepovirus,1,"Blueberry latent spherical virus genomic RNA, segment: 1, complete sequence",
NC_038765,7727,Secoviridae,Nepovirus,1,"Melon mild mottle virus gene for polyprotein, complete cds, segment RNA 1",
NC_038766,3854,Secoviridae,Nepovirus,2,"Melon mild mottle virus gene for polyprotein, complete cds, segment RNA 2",
NC_038767,7183,Secoviridae,Nepovirus,1,"Mulberry mosaic roll leaf-associated virus isolate zj segment RNA1, complete sequence",
NC_038768,3742,Secoviridae,Nepovirus,2,"Mulberry mosaic roll leaf-associated virus isolate zj segment RNA2, complete sequence",
NC_038769,7061,Fimoviridae,Emaravirus,1,"Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA1 RNA-dependent RNA polymerase gene, complete cds",
NC_038770,2267,Fimoviridae,Emaravirus,2,"Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA2 glycoprotein precursor, gene, complete cds",
NC_038771,1664,Fimoviridae,Emaravirus,4,"Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA4 membrane-located protein gene, complete cds",
NC_038772,1678,Fimoviridae,Emaravirus,3,"Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA3 nucleocapsid protein gene, complete cds",
NC_038773,1476,Fimoviridae,Emaravirus,5,"Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA5 putative protein gene, complete cds",
NC_038774,4657,Benyviridae,Benyvirus,2,"Rice stripe necrosis virus segment RNA2, complete sequence",
NC_038775,6634,Benyviridae,Benyvirus,1,"Rice stripe necrosis virus segment RNA1, complete sequence",
NC_038778,2978,Chrysoviridae,Alphachrysovirus,1,"Cryphonectria nitschkei chrysovirus 1 from Cryphonectria nitschkei BS122 RNA-dependent RNA polymerase gene, complete cds",
NC_038779,2980,Chrysoviridae,Alphachrysovirus,2,"Cryphonectria nitschkei chrysovirus 1 from Cryphonectria nitschkei BS122 capsid protein gene, complete cds",
NC_038780,2960,Chrysoviridae,Alphachrysovirus,4,"Cryphonectria nitschkei chrysovirus 1 strain BS122 putative replication associated protein gene, complete cds",
NC_038781,2552,Chrysoviridae,Alphachrysovirus,3,"Cryphonectria nitschkei chrysovirus 1 strain BS122 putative cysteine protease gene, complete cds",
NC_038782,3313,Chrysoviridae,Alphachrysovirus,2,"Verticillium dahliae chrysovirus 1 segment 2, complete sequence",
NC_038783,2932,Chrysoviridae,Alphachrysovirus,4,"Verticillium dahliae chrysovirus 1 segment 4, complete sequence",
NC_038784,3594,Chrysoviridae,Alphachrysovirus,1,"Verticillium dahliae chrysovirus 1 segment 1, complete sequence",
NC_038785,2983,Chrysoviridae,Alphachrysovirus,3,"Verticillium dahliae chrysovirus 1 segment 3, complete sequence",
NC_038786,8010,Closteroviridae,Crinivirus,1,"Diodia vein chlorosis virus segment RNA 1, complete sequence",
NC_038787,8220,Closteroviridae,Crinivirus,2,"Diodia vein chlorosis virus segment RNA 2, complete sequence",
NC_038788,8467,Closteroviridae,Crinivirus,1,"Tetterwort vein chlorosis virus segment RNA1, complete sequence",
NC_038789,8113,Closteroviridae,Crinivirus,2,"Tetterwort vein chlorosis virus segment RNA2, complete sequence",
NC_038823,1776,Partitiviridae,Alphapartitivirus,2,"Carrot cryptic virus segment RNA 2 coat protein gene, complete cds",
NC_038824,1971,Partitiviridae,Alphapartitivirus,1,"Carrot cryptic virus segment RNA 1 RNA-dependent RNA polymerase gene, complete cds",
NC_038825,1730,Partitiviridae,Alphapartitivirus,2,"Flammulina velutipes browning virus CP1 gene for coat protein, complete cds",
NC_038826,1915,Partitiviridae,Alphapartitivirus,1,"Flammulina velutipes browning virus RdRp gene for RNA-dependent RNA polymerase, complete cds",
NC_038827,2027,Partitiviridae,Alphapartitivirus,1,"Heterobasidion RNA virus 1 isolate HetRV1-ab1 putative RNA-dependent RNA polymerase gene, complete cds",
NC_038828,1866,Partitiviridae,Alphapartitivirus,2,"Heterobasidion RNA virus 1 isolate HetRV1-ab1 putative coat protein gene, complete cds",
NC_038829,1884,Partitiviridae,Alphapartitivirus,1,"Heterobasidion partitivirus 12 strain HetPV12-an1 RNA-dependent RNA polymerase gene, complete cds",
NC_038830,1806,Partitiviridae,Alphapartitivirus,2,"Heterobasidion partitivirus 12 strain HetPV12-an1 capsid protein gene, complete cds",
NC_038831,1873,Partitiviridae,Alphapartitivirus,1,"Heterobasidion partitivirus 13 strain HetPV13-an1 RNA-dependent RNA polymerase gene, complete cds",
NC_038832,1776,Partitiviridae,Alphapartitivirus,2,"Heterobasidion partitivirus 13 strain HetPV13-an1 capsid protein gene, complete cds",
NC_038833,1791,Partitiviridae,Alphapartitivirus,2,"Heterobasidion partitivirus 15 strain HetPV15-pa1 capsid protein gene, complete cds",
NC_038834,1882,Partitiviridae,Alphapartitivirus,1,"Heterobasidion partitivirus 15 strain HetPV15-pa1 RNA-dependent RNA polymerase gene, complete cds",
NC_038835,1826,Partitiviridae,Alphapartitivirus,2,"Heterobasidion RNA Virus 3 putative coat protein gene, complete cds",
NC_038836,1885,Partitiviridae,Alphapartitivirus,1,"Heterobasidion RNA Virus 3 putative RNA-dependent RNA polymerase gene, complete cds",
NC_038837,2444,Partitiviridae,Betapartitivirus,1,"Crimson clover cryptic virus 2 isolate IPP_IncarnatSK segment RNA 1, complete sequence",
NC_038838,2354,Partitiviridae,Betapartitivirus,2,"Crimson clover cryptic virus 2 isolate IPP_IncarnatSK segment RNA 2, complete sequence",
NC_038839,2290,Partitiviridae,Betapartitivirus,1,"Heterobasidion partitivirus 2 isolate HetRV2-pa1 putative RNA-dependent RNA polymerase gene, complete cds",
NC_038840,2238,Partitiviridae,Betapartitivirus,2,"Heterobasidion partitivirus 2 isolate HetRV2-pa1 putative coat protein gene, complete cds",
NC_038841,2281,Partitiviridae,Betapartitivirus,1,"Heterobasidion partitivirus 8 strain HetPV8-ir1 RNA-dependent RNA polymerase gene, complete cds",
NC_038842,2235,Partitiviridae,Betapartitivirus,2,"Heterobasidion partitivirus 8 strain HetPV8-ir1 capsid protein gene, complete cds",
NC_038843,1836,Partitiviridae,Cryspovirus,1,"Cryptosporidium parvum virus 1 strain Iowa segment dsRNA1, complete sequence",
NC_038844,1510,Partitiviridae,Cryspovirus,2,"Cryptosporidium parvum virus 1 strain Iowa segment dsRNA2, complete sequence",
NC_038845,1598,Partitiviridae,Deltapartitivirus,2,"Beet cryptic virus 2 segment dsRNA2a, complete sequence",?
NC_038846,1575,Partitiviridae,Deltapartitivirus,1,"Beet cryptic virus 2 segment dsRNA1, complete sequence",
NC_038847,1522,Partitiviridae,Deltapartitivirus,2,"Beet cryptic virus 2 segment dsRNA2b, complete sequence",?
NC_038848,8717,Kitaviridae,Cilevirus,1,"Citrus leprosis virus C2 isolate L147V1 segment RNA1, complete sequence",
NC_038849,4989,Kitaviridae,Cilevirus,2,"Citrus leprosis virus C2 isolate L147V1 segment RNA2, complete sequence",
NC_038850,7226,Virgaviridae,Furovirus,1,"Japanese soil-borne wheat mosaic virus genomic RNA 1 for 152-kDa protein, 59-kDa readthrough protein, 37-kDa movement protein, complete and partial cds",
NC_038851,3574,Virgaviridae,Furovirus,2,"Japanese soil-borne wheat mosaic virus genomic RNA 2 for capsid protein, 64-kDa readthrough protein, 19-kDa cys-rich protein, complete and partial cds",
NC_038869,3579,Birnaviridae,Telnavirus,A,"Tellina virus 1 gene for polyprotein precursor, genomic RNA",
NC_038870,2817,Birnaviridae,Telnavirus,B,"Tellina virus 1 gene for RNA-dependant RNA polymerase, genomic RNA",
NC_038871,3006,Chrysoviridae,Alphachrysovirus,3,"Aspergillus fumigatus chrysovirus segment 3, complete sequence, isolate A-56, genomic RNA",
NC_038872,3560,Chrysoviridae,Alphachrysovirus,1,"Aspergillus fumigatus chrysovirus segment 1, complete sequence, isolate A-56, genomic RNA",
NC_038873,3159,Chrysoviridae,Alphachrysovirus,2,"Aspergillus fumigatus chrysovirus segment 2, complete sequence, isolate A-56, genomic RNA",
NC_038874,2863,Chrysoviridae,Alphachrysovirus,4,"Aspergillus fumigatus chrysovirus segment 4, complete sequence, isolate A-56, genomic RNA",
NC_038915,1757,Partitiviridae,Alphapartitivirus,2,"Chondrostereum purpureum cryptic virus 1, segment RNA2",
NC_038916,1920,Partitiviridae,Alphapartitivirus,1,"Chondrostereum purpureum cryptic virus 1, segment RNA1",
NC_038917,1567,Partitiviridae,Gammapartitivirus,S2,Ophiostoma partitivirus 1 CP gene for capsid protein,
NC_038918,1744,Partitiviridae,Gammapartitivirus,S1,Ophiostoma partitivirus 1 RdRp gene for RNA-dependent RNA polymerase,
NC_038938,1675,Hantaviridae,Orthohantavirus,S,"Prospect Hill virus RNA, strain PH-1",
NC_038939,6559,Hantaviridae,Orthohantavirus,L,"Prospect Hill virus segment L, complete sequence",
NC_038940,3707,Hantaviridae,Orthohantavirus,M,Prospect Hill virus mRNA for glycoproteins G1 and G2,
NC_038941,954,Peribunyaviridae,Orthobunyavirus,S,Main Drain virus genomic RNA for N and NSs proteins,
NC_038942,4457,Peribunyaviridae,Orthobunyavirus,M,"Main Drain virus strain BFS5015 segment M polyprotein gene, complete cds",
NC_038943,585,Peribunyaviridae,Orthobunyavirus,L,"Main Drain virus strain BFS5015 segment L polymerase (L) gene, partial cds",
NC_039005,3433,Arenaviridae,Reptarenavirus,S,"University of Giessen virus strain UGV-1 segment S GPC and NP genes, complete cds",
NC_039006,6787,Arenaviridae,Reptarenavirus,L,"University of Giessen virus strain UGV-1 segment L Z protein and RdRp genes, complete cds",
NC_039007,3400,Arenaviridae,Reptarenavirus,S,"Tavallinen suomalainen mies virus clone TSMV-2_S_F15133 glycoprotein precursor and nucleoprotein genes, complete cds",
NC_039008,6917,Arenaviridae,Reptarenavirus,L,"Tavallinen suomalainen mies virus clone TSMV-2_L_F15-133 Z-protein and RNA-dependent RNA polymerase genes, complete cds",
NC_039009,3363,Arenaviridae,Mammarenavirus,S,"Rat arenavirus 1 isolate YN2013 segment S, complete sequence",
NC_039010,7144,Arenaviridae,Mammarenavirus,L,"Rat arenavirus 1 isolate YN2013 segment L, complete sequence",
NC_039011,7263,Arenaviridae,Mammarenavirus,L,"Souris virus isolate PREDICT-05775,5302,5304 segment L, complete sequence",
NC_039012,3383,Arenaviridae,Mammarenavirus,S,"Souris virus isolate PREDICT-05775,5302,5304 segment S, complete sequence",
NC_039072,3134,Secoviridae,Fabavirus,2,"Grapevine fabavirus isolate BB segment RNA2 polyprotein gene, complete cds",
NC_039073,5668,Secoviridae,Fabavirus,1,"Grapevine fabavirus isolate NP segment RNA1 polyprotein gene, complete cds",
NC_039074,3024,Bromoviridae,Ilarvirus,2,"Tomato necrotic streak virus isolate 13-382 segment RNA2, complete sequence",
NC_039075,3378,Bromoviridae,Ilarvirus,1,"Tomato necrotic streak virus isolate 13-382 segment RNA1, complete sequence",
NC_039076,2219,Bromoviridae,Ilarvirus,3,"Tomato necrotic streak virus isolate 13-382 segment RNA3, complete sequence",
NC_039077,6165,Secoviridae,Fabavirus,1,"Prunus virus F isolate 8816-v1 segment RNA1 polyprotein 1 gene, complete cds",
NC_039078,3622,Secoviridae,Fabavirus,2,"Prunus virus F isolate 8816-s1 segment RNA2 polyprotein 2 gene, complete cds",
NC_039183,4296,Peribunyaviridae,Orthobunyavirus,M,"Tete virus strain SAAn 3518 polyprotein gene, complete cds",
NC_039184,6915,Peribunyaviridae,Orthobunyavirus,L,"Tete virus strain SAAn 3518 RNA-dependent RNA polymerase gene, complete cds",
NC_039185,976,Peribunyaviridae,Orthobunyavirus,S,"Tete virus strain SAAn 3518 nucleocapsid protein gene, complete cds",
NC_039186,6854,Peribunyaviridae,Orthobunyavirus,L,"Wyeomyia virus strain original RNA-dependent RNA polymerase gene, complete cds",
NC_039187,4540,Peribunyaviridae,Orthobunyavirus,M,"Wyeomyia virus strain original polyprotein gene, complete cds",
NC_039188,1067,Peribunyaviridae,Orthobunyavirus,S,"Wyeomyia virus strain original nucleocapsid protein gene, complete cds",
NC_039191,4348,Phenuiviridae,Phlebovirus,M,"Punta Toro virus strain Adames M protein gene, complete cds",
NC_039192,6407,Phenuiviridae,Phlebovirus,L,"Punta Toro virus strain Adames L protein gene, complete cds",
NC_039193,1863,Phenuiviridae,Phlebovirus,S,"Punta Toro virus strain Adames N protein and NS protein genes, complete cds",
NC_039203,4710,Tospoviridae,Orthotospovirus,M,"Polygonum ringspot tospovirus isolate Plg13 segment M, complete sequence",
NC_039204,8893,Tospoviridae,Orthotospovirus,L,"Polygonum ringspot tospovirus isolate Plg13 segment L, complete sequence",
NC_039205,2485,Tospoviridae,Orthotospovirus,S,"Polygonum ringspot tospovirus isolate Plg13 segment S, complete sequence",
NC_039220,11734,Nairoviridae,Orthonairovirus,L,"Thiafora virus isolate AnD 11411 RNA-dependent RNA polymerase gene, complete cds",
NC_039221,4024,Nairoviridae,Orthonairovirus,M,"Thiafora virus isolate AnD 11411 envelope glycoprotein gene, complete cds",
NC_039222,2286,Nairoviridae,Orthonairovirus,S,"Thiafora virus isolate AnD 11411 nucleoprotein gene, complete cds",
NC_039224,1720,Benyviridae,Benyvirus,3,"Beet soil-borne mosaic virus isolate MRM06 segment RNA3, complete sequence",
NC_039225,4615,Benyviridae,Benyvirus,2,"Beet soil-borne mosaic virus isolate MRM06 segment RNA2, complete sequence",
NC_039226,6679,Benyviridae,Benyvirus,1,"Beet soil-borne mosaic virus isolate MRM06 segment RNA1, complete sequence",
NC_039227,1730,Benyviridae,Benyvirus,4,"Beet soil-borne mosaic virus isolate MRM06 segment RNA4, complete sequence",
NC_038232,4838,Tospoviridae,Orthotospovirus,M,"Iris yellow spot virus M segment, complete sequence",
NC_037612,4202,Phenuiviridae,Phlebovirus,M,"Zerdali virus strain 37 segment M, complete sequence",
NC_037613,1907,Phenuiviridae,Phlebovirus,S,"Zerdali virus strain 37 segment S, complete sequence",
NC_037614,4326,Phenuiviridae,Phlebovirus,M,"Toros virus strain 213 segment M, complete sequence",
NC_037615,1702,Phenuiviridae,Phlebovirus,S,"Toros virus strain 213 segment S, complete sequence",
NC_037616,4198,Phenuiviridae,Phlebovirus,M,"Arrabida virus strain PoSFPhlebV/126/2008 segment M, complete sequence",
NC_037617,1840,Phenuiviridae,Phlebovirus,S,"Arrabida virus strain PoSFPhlebV/126/2008 segment S, complete sequence",
NC_037570,4501,Spinareoviridae,Fijivirus,1,"Maize rough dwarf fijivirus RNA dependent RNA polymerase (P1) gene, complete cds",
NC_037571,3573,Spinareoviridae,Fijivirus,3,"Maize rough dwarf fijivirus structural protein (P3) gene, complete cds",
NC_037572,3617,Spinareoviridae,Fijivirus,4,"Maize rough dwarf fijivirus structural protein (P4) gene, complete cds",
NC_037573,2645,Spinareoviridae,Fijivirus,6,"Maize rough dwarf fijivirus nonstructural protein (P6) gene, complete cds",
NC_037574,2193,Spinareoviridae,Fijivirus,7,"Maize rough dwarf fijivirus nonstructural protein (P7-1) and nonstructural protein (P7-2) genes, complete cds",
NC_037575,1936,Spinareoviridae,Fijivirus,8,"Maize rough dwarf fijivirus minor core structural protein (P8) gene, complete cds",
NC_037576,1900,Spinareoviridae,Fijivirus,9,"Maize rough dwarf fijivirus nonstructural protein (P9-1) and nonstructural protein (P9-2) genes, complete cds",
NC_037577,1802,Spinareoviridae,Fijivirus,10,"Maize rough dwarf fijivirus major outer structural protein (P10) gene, complete cds",
NC_037578,3813,Spinareoviridae,Fijivirus,2,"Maize rough dwarf fijivirus structural protein (P2) gene, complete cds",
NC_037095,1563,Partitiviridae,Deltapartitivirus,1,"Pepper cryptic virus 1 isolate Jal-01 segment RNA1, complete sequence",
NC_037096,1512,Partitiviridae,Deltapartitivirus,2,"Pepper cryptic virus 1 isolate Jal-01 segment RNA2, complete sequence",
NC_036636,12063,Nairoviridae,Orthonairovirus,L,"Kasokero virus isolate Z-52963 RNA-dependent RNA polymerase gene, complete cds",
NC_036615,2330,Orthomyxoviridae,Deltainfluenzavirus,2,"Influenza D virus (D/swine/Oklahoma/1334/2011) segment 2 polymerase PB1 (PB1) gene, complete cds",
NC_036616,2364,Orthomyxoviridae,Deltainfluenzavirus,1,"Influenza D virus (D/swine/Oklahoma/1334/2011) segment 1 polymerase PB2 (PB2) gene, complete cds",
NC_036617,1775,Orthomyxoviridae,Deltainfluenzavirus,5,"Influenza D virus (D/swine/Oklahoma/1334/2011) segment 5 nucleoprotein (NP) gene, complete cds",
NC_036618,2049,Orthomyxoviridae,Deltainfluenzavirus,4,"Influenza D virus (D/swine/Oklahoma/1334/2011) segment 4 hemagglutinin-esterase precursor (HEF) gene, complete cds",
NC_036619,2195,Orthomyxoviridae,Deltainfluenzavirus,3,"Influenza D virus (D/swine/Oklahoma/1334/2011) segment 3 polymerase 3 (P3) gene, complete cds",
NC_036620,1219,Orthomyxoviridae,Deltainfluenzavirus,6,"Influenza D virus (D/swine/Oklahoma/1334/2011) segment 6 P42 (P42) gene, complete cds",
NC_036621,868,Orthomyxoviridae,Deltainfluenzavirus,7,"Influenza D virus (D/swine/Oklahoma/1334/2011) segment 7 nonstructural protein 2 (NS2) and nonstructural protein 1 (NS1) genes, complete cds",
NC_036634,1570,Aspiviridae,Ophiovirus,3,"Blueberry mosaic associated virus segment RNA3, complete sequence",
NC_036635,7963,Aspiviridae,Ophiovirus,1,"Blueberry mosaic associated virus segment RNA1, complete sequence",
NC_036597,8999,Phenuiviridae,Tenuivirus,1,"Rice hoja blanca tenuivirus segment RNA1, complete sequence",
NC_036598,3620,Phenuiviridae,Tenuivirus,2,"Rice hoja blanca tenuivirus segment RNA2, complete sequence",
NC_036599,1998,Phenuiviridae,Tenuivirus,4,"Rice hoja blanca tenuivirus segment RNA4, complete sequence",
NC_036602,2299,Phenuiviridae,Tenuivirus,3,"Rice hoja blanca tenuivirus segment RNA3, complete sequence",
NC_036604,6430,Phenuiviridae,Uukuvirus,L,"Kabuto mountain virus RdRp gene for RNA-dependent RNA polymerase, complete cds, strain: T32",
NC_036605,3151,Phenuiviridae,Uukuvirus,M,"Kabuto mountain virus GPs gene for envelope glycoproteins, complete cds, strain: T32",
NC_036606,1868,Phenuiviridae,Uukuvirus,S,"Kabuto mountain virus N, NSs genes for nucleocapsid protein, nonstructural protein, complete cds, strain: T32",
NC_036607,8914,Tospoviridae,Orthotospovirus,L,"Calla lily chlorotic spot virus strain CCSV-Cel segment L, complete sequence",
NC_036608,4734,Tospoviridae,Orthotospovirus,M,"Calla lily chlorotic spot virus strain CCSV-Cel segment M, complete sequence",
NC_036609,3146,Tospoviridae,Orthotospovirus,S,"Calla lily chlorotic spot virus strain CCSV-Cel segment S, complete sequence",
NC_036468,3934,Spinareoviridae,Orthoreovirus,L2,"Piscine reovirus isolate CGA280-05 core turret protein mRNA, complete cds",
NC_036469,2383,Spinareoviridae,Orthoreovirus,M1,"Piscine reovirus isolate CGA280-05 core NTPase mRNA, complete cds",
NC_036470,2179,Spinareoviridae,Orthoreovirus,M2,"Piscine reovirus isolate CGA280-05 outer shell protein mRNA, complete cds",
NC_036471,2403,Spinareoviridae,Orthoreovirus,M3,"Piscine reovirus isolate CGA280-05 non-structural protein mRNA, complete cds",
NC_036472,1081,Spinareoviridae,Orthoreovirus,S1,"Piscine reovirus isolate CGA280-05 outer clamp protein and non-structural protein genes, complete cds",
NC_036473,1329,Spinareoviridae,Orthoreovirus,S2,"Piscine reovirus isolate CGA280-05 core clamp protein mRNA, complete cds",
NC_036474,1141,Spinareoviridae,Orthoreovirus,S3,"Piscine reovirus isolate CGA280-05 non-structural RNA protein mRNA, complete cds",
NC_036475,1040,Spinareoviridae,Orthoreovirus,S4,"Piscine reovirus isolate CGA280-05 outer fiber protein mRNA, complete cds",
NC_036476,3911,Spinareoviridae,Orthoreovirus,L1,"Piscine reovirus isolate CGA280-05 core shell protein mRNA, complete cds",
NC_036477,3916,Spinareoviridae,Orthoreovirus,L3,"Piscine reovirus isolate CGA280-05 core RNA-dependent RNA polymerase mRNA, complete cds",
NC_035759,6681,Phenuiviridae,Coguvirus,1,"Citrus concave gum-associated virus isolate CGW2 segment RNA1, complete sequence",
